Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743634922512,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,3787.8389282226563,103282.69616699219,87246.85021972656,0,17112264704,62914560000,4757303296,0
199,1743634922513,3696,3696,3696,3696,3696,3696,73.88141632080078,99.50868225097656,86.51240539550781,68.85883331298828,67.82501983642578,76.5081787109375,3787.8494262695313,103282.87579345703,87247.01733398438,0,17112264704,62914560000,4757090304,0
200,1743634922713,3696,3696,3696,3696,3696,3696,22.000076293945313,45.818359375,34.0726318359375,7.367652893066406,11.042373657226563,6.081840515136719,3787.99365234375,103287.58416748047,87251.04919433594,0,17112264704,62914560000,4779438080,0
198,1743634922914,3696,3696,3696,3696,3696,3696,22.025856018066406,45.24447250366211,10.691215515136719,10.115455627441406,37.43972396850586,3.8785400390625,3788.1614990234375,103292.60913085938,87255.35339355469,0,17112264704,62914560000,4815032320,0
200,1743634923113,3696,3696,3696,3696,3696,3696,12.818519592285156,33.04005432128906,2.8555450439453125,34.37421417236328,36.29414749145508,5.674713134765625,3788.3238525390625,103297.43371582031,87259.47131347656,0,17112264704,62914560000,4841095168,0
200,1743634923314,3696,3696,3696,3696,3696,3696,11.212409973144531,76.82371520996094,20.111968994140625,11.812591552734375,21.218849182128906,17.287750244140625,3788.5056762695313,103302.73248291016,87264.07745361328,0,17112264704,62914560000,4864045056,0
200,1743634923514,3696,3696,3696,3696,3696,3696,58.697410583496094,47.215274810791016,6.018402099609375,1.4770431518554688,4.2919464111328125,2.453857421875,3788.6635131835938,103307.48266601563,87268.1058959961,0,17112264704,62914560000,4885520384,0
200,1743634923714,3696,3696,3696,3696,3696,3696,12.643524169921875,52.464115142822266,36.927310943603516,21.717803955078125,23.918678283691406,33.159278869628906,3788.956298828125,103312.99658203125,87272.8939819336,0,17112264704,62914560000,4891938816,0
5,1743634923915,3696,3696,3696,3696,3696,3696,1.040069580078125,17.064613342285156,1.2457656860351563,0.16724395751953125,0,0.6702194213867188,3789.0892333984375,103314.69104003906,87273.85614013672,0,17112264704,62914560000,4762226688,0
