Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742990418480,3696,3696,3696,3696,3696,3696,6.580879211425781,42.87550735473633,40.457401275634766,11.876930236816406,8.48223876953125,60.65156555175781,2319.6565551757813,38820.596435546875,27642.690673828125,0,17112264704,62914560000,7209328640,0
199,1742990418480,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,2319.6600341796875,38820.65661621094,27642.74639892578,0,17112264704,62914560000,7210110976,0
200,1742990418680,3696,3696,3696,3696,3696,3696,37.476036071777344,49.981868743896484,17.601028442382813,8.638160705566406,19.46246337890625,18.121826171875,2319.8103637695313,38825.47479248047,27646.873901367188,0,17112264704,62914560000,7246934016,0
200,1742990418880,3696,3696,3696,3696,3696,3696,23.986900329589844,42.780155181884766,9.20703125,20.7716064453125,34.690513610839844,19.87873077392578,2319.9998779296875,38830.740966796875,27651.42852783203,0,17112264704,62914560000,7288291328,0
200,1742990419081,3696,3696,3696,3696,3696,3696,51.26247787475586,28.375099182128906,9.173255920410156,22.375389099121094,13.623336791992188,11.752105712890625,2320.1736450195313,38835.71667480469,27655.70556640625,0,17112264704,62914560000,7313379328,0
200,1742990419281,3696,3696,3696,3696,3696,3696,14.63037109375,82.1359634399414,24.433242797851563,12.644172668457031,9.973808288574219,14.255348205566406,2320.3657836914063,38841.18151855469,27660.456665039063,0,17112264704,62914560000,7359737856,0
200,1742990419482,3696,3696,3696,3696,3696,3696,38.09421920776367,74.41456604003906,36.3294792175293,14.328407287597656,15.6656494140625,22.896339416503906,2320.5919189453125,38847.35607910156,27665.883178710938,0,17112264704,62914560000,7399194624,0
200,1742990419682,3696,3696,3696,3696,3696,3696,4.226951599121094,59.89783477783203,13.125335693359375,1.6247024536132813,34.36711120605469,3.687896728515625,2320.8349609375,38851.811279296875,27669.626525878906,0,17112264704,62914560000,7374508032,0
1,1742990419882,3696,3696,3696,3696,3696,3696,16.283279418945313,12.947921752929688,12.131866455078125,7.3280487060546875,12.469146728515625,8.206047058105469,2320.9783325195313,38853.74053955078,27670.842834472656,0,17112264704,62914560000,7224205312,0
