Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743634920601,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,3786.1810913085938,103242.28015136719,87213.21282958984,0,17112264704,62914560000,4753657856,0
200,1743634920601,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,3786.1920776367188,103242.45007324219,87213.36236572266,0,17112264704,62914560000,4753756160,0
200,1743634920802,3696,3696,3696,3696,3696,3696,48.54463195800781,47.36899185180664,27.732864379882813,16.097129821777344,13.589584350585938,12.2415771484375,3786.341552734375,103247.34252929688,87217.56365966797,0,17112264704,62914560000,4776026112,0
198,1743634921004,3696,3696,3696,3696,3696,3696,10.645164489746094,40.15826416015625,20.925743103027344,40.41145324707031,3.0535049438476563,8.518608093261719,3786.5047607421875,103252.298828125,87221.80505371094,0,17112264704,62914560000,4811935744,0
200,1743634921203,3696,3696,3696,3696,3696,3696,12.345008850097656,42.35842514038086,3.8212890625,27.352951049804688,29.85186767578125,8.431015014648438,3786.6666259765625,103256.9663696289,87225.79913330078,0,17112264704,62914560000,4837044224,0
200,1743634921403,3696,3696,3696,3696,3696,3696,21.96332550048828,50.21669387817383,51.72566604614258,9.455406188964844,7.844482421875,13.219093322753906,3786.8469848632813,103262.17919921875,87230.27856445313,0,17112264704,62914560000,4896116736,0
200,1743634921603,3696,3696,3696,3696,3696,3696,23.314720153808594,67.94967651367188,17.641197204589844,15.409454345703125,22.487075805664063,21.027267456054688,3787.055419921875,103267.65795898438,87235.06604003906,0,17112264704,62914560000,4901015552,0
200,1743634921804,3696,3696,3696,3696,3696,3696,8.497413635253906,47.05131530761719,8.710662841796875,27.895828247070313,37.31675720214844,10.736625671386719,3787.3135375976563,103272.32604980469,87238.98767089844,0,17112264704,62914560000,4867493888,0
1,1743634922005,3696,3696,3696,3696,3696,3696,0.4270782470703125,14.194931030273438,7.429985046386719,0,0.10088348388671875,0,3787.4296875,103273.9517211914,87239.91400146484,0,17112264704,62914560000,4748509184,0
