Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743634328042,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,3307.6204833984375,94840.17218017578,80585.38989257813,0,17112264704,62914560000,4602671104,0
200,1743634328042,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,3307.6257934570313,94840.25769042969,80585.46179199219,0,17112264704,62914560000,4602429440,0
200,1743634328243,3696,3696,3696,3696,3696,3696,18.93914794921875,40.751163482666016,18.288162231445313,10.342926025390625,58.38341522216797,19.245765686035156,3307.7767944335938,94845.39837646484,80589.90209960938,0,17112264704,62914560000,4634165248,0
200,1743634328443,3696,3696,3696,3696,3696,3696,70.70655822753906,33.12549591064453,17.03874969482422,24.87041473388672,17.393569946289063,6.253868103027344,3307.9840698242188,94850.98291015625,80594.76190185547,0,17112264704,62914560000,4674490368,0
200,1743634328643,3696,3696,3696,3696,3696,3696,46.46084213256836,37.744873046875,10.617805480957031,4.9532928466796875,19.421310424804688,2.4234695434570313,3308.1365966796875,94855.75128173828,80598.83514404297,0,17112264704,62914560000,4697419776,0
200,1743634328844,3696,3696,3696,3696,3696,3696,2.0727310180664063,31.31085968017578,1.4026947021484375,70.12354278564453,1.8914947509765625,1.833160400390625,3308.2645263671875,94860.49383544922,80602.86389160156,0,17112264704,62914560000,4718645248,0
200,1743634329044,3696,3696,3696,3696,3696,3696,7.063026428222656,39.16307067871094,10.024986267089844,37.34805679321289,19.938934326171875,39.77466583251953,3308.446533203125,94866.02258300781,80607.72686767578,0,17112264704,62914560000,4766240768,0
199,1743634329245,3696,3696,3696,3696,3696,3696,44.749202728271484,45.62152862548828,27.584213256835938,10.681350708007813,13.9581298828125,8.242744445800781,3308.6488647460938,94871.19580078125,80612.1650390625,0,17112264704,62914560000,4792442880,0
200,1743634329445,3696,3696,3696,3696,3696,3696,15.123336791992188,88.13939666748047,11.959159851074219,2.5551071166992188,5.989250183105469,4.037788391113281,3308.7975463867188,94875.96368408203,80616.23272705078,0,17112264704,62914560000,4806115328,0
200,1743634329645,3696,3696,3696,3696,3696,3696,53.475860595703125,19.37909698486328,27.0850830078125,2.356353759765625,7.319671630859375,8.901046752929688,3308.923095703125,94880.66723632813,80620.21685791016,0,17112264704,62914560000,4813496320,0
200,1743634329846,3696,3696,3696,3696,3696,3696,47.84772491455078,3.1466293334960938,23.891510009765625,2.6595458984375,2.8689346313476563,30.931381225585938,3309.0464477539063,94885.34045410156,80624.21075439453,0,17112264704,62914560000,4822106112,0
200,1743634330046,3696,3696,3696,3696,3696,3696,59.12087631225586,20.83715057373047,2.4269638061523438,3.331298828125,5.120574951171875,40.77241516113281,3309.21533203125,94890.2622680664,80628.42559814453,0,17112264704,62914560000,4809519104,0
200,1743634330246,3696,3696,3696,3696,3696,3696,24.003883361816406,7.6868743896484375,42.29816818237305,5.2212371826171875,2.9907989501953125,54.522647857666016,3309.3832397460938,94895.3695678711,80632.81689453125,0,17112264704,62914560000,4845625344,0
200,1743634330447,3696,3696,3696,3696,3696,3696,33.371246337890625,13.568489074707031,2.7322158813476563,1.9673233032226563,5.196075439453125,68.52517700195313,3309.533203125,94900.26818847656,80636.99731445313,0,17112264704,62914560000,4872658944,0
200,1743634330647,3696,3696,3696,3696,3696,3696,29.954124450683594,33.062767028808594,46.31901168823242,15.81695556640625,14.299598693847656,45.53083801269531,3309.7409057617188,94905.53540039063,80641.55493164063,0,17112264704,62914560000,4900880384,0
200,1743634330848,3696,3696,3696,3696,3696,3696,87.73060607910156,93.61006164550781,87.0417251586914,87.20236206054688,87.38469696044922,94.42821502685547,3309.8973388671875,94914.57397460938,80649.90460205078,0,17112264704,62914560000,4945764352,0
199,1743634331048,3696,3696,3696,3696,3696,3696,43.673152923583984,23.095367431640625,9.28912353515625,2.4702301025390625,31.233436584472656,24.687698364257813,3310.0473022460938,94919.7182006836,80654.32611083984,0,17112264704,62914560000,4969988096,0
200,1743634331248,3696,3696,3696,3696,3696,3696,0.75518798828125,1.5148773193359375,0.2217864990234375,2.5761260986328125,23.717796325683594,77.41143798828125,3310.1629028320313,94924.08813476563,80658.00183105469,0,17112264704,62914560000,4970504192,0
199,1743634331448,3696,3696,3696,3696,3696,3696,34.45671081542969,20.65100860595703,2.3893890380859375,14.116531372070313,37.28815460205078,20.213844299316406,3310.3681640625,94928.99212646484,80662.1976928711,0,17112264704,62914560000,4942106624,0
