Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742689971834,3696,3696,3696,3696,3696,3696,0,77.3258056640625,5.019950866699219,0,1.3376388549804688,0,2799.679443359375,42638.565185546875,32771.96984863281,0,17112264704,11811160064,4388823040,0
200,1742689971834,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,2799.6846923828125,42638.68194580078,32772.049560546875,0,17112264704,11811160064,4389826560,0
198,1742689972036,3696,3696,3696,3696,3696,3696,10.106475830078125,73.60055541992188,7.9505615234375,5.1398162841796875,30.444427490234375,4.670738220214844,2799.82568359375,42643.585205078125,32776.25067138672,0,17112264704,11811160064,4419375104,0
200,1742689972235,3696,3696,3696,3696,3696,3696,0.31397247314453125,38.912776947021484,6.970405578613281,55.9708137512207,0.7784042358398438,0.5723342895507813,2799.9473876953125,42648.60089111328,32780.57238769531,0,17112264704,11811160064,4435456000,0
200,1742689972435,3696,3696,3696,3696,3696,3696,5.238059997558594,9.385360717773438,79.17608642578125,26.754669189453125,12.707237243652344,8.646659851074219,2800.0826416015625,42654.062255859375,32785.34533691406,0,17112264704,11811160064,4455952384,0
200,1742689972636,3696,3696,3696,3696,3696,3696,41.67440414428711,8.650398254394531,56.524444580078125,2.8242263793945313,3.1027603149414063,6.9207916259765625,2800.2127075195313,42658.96551513672,32789.532958984375,0,17112264704,11811160064,4472336384,0
200,1742689972836,3696,3696,3696,3696,3696,3696,33.39891052246094,41.21421432495117,31.049240112304688,1.7348480224609375,1.697357177734375,7.626304626464844,2800.3401489257813,42664.07849121094,32793.9560546875,0,17112264704,11811160064,4487532544,0
200,1742689973036,3696,3696,3696,3696,3696,3696,18.96092987060547,30.712318420410156,24.636451721191406,13.09344482421875,33.60450744628906,2.4390792846679688,2800.4852905273438,42668.9599609375,32798.136657714844,0,17112264704,11811160064,4509425664,0
200,1742689973237,3696,3696,3696,3696,3696,3696,0.3175811767578125,62.93919372558594,15.109764099121094,25.595909118652344,3.911041259765625,1.1551437377929688,2800.6067504882813,42674.04718017578,32802.51300048828,0,17112264704,11811160064,4530827264,0
200,1742689973437,3696,3696,3696,3696,3696,3696,1.7770462036132813,35.076377868652344,44.566497802734375,4.010337829589844,28.83270263671875,1.9915313720703125,2800.73291015625,42679.04638671875,32806.816833496094,0,17112264704,11811160064,4542259200,0
200,1742689973638,3696,3696,3696,3696,3696,3696,7.7405853271484375,1.0990676879882813,92.42733764648438,3.2326812744140625,5.614845275878906,0.8902130126953125,2800.856689453125,42684.06024169922,32811.118713378906,0,17112264704,11811160064,4563124224,0
200,1742689973838,3696,3696,3696,3696,3696,3696,0.37595367431640625,32.36266326904297,69.44969940185547,2.2744293212890625,3.6790771484375,14.478118896484375,2800.9815673828125,42689.36047363281,32815.735290527344,0,17112264704,11811160064,4589436928,0
200,1742689974039,3696,3696,3696,3696,3696,3696,9.441940307617188,4.6803131103515625,99.92900085449219,1.8851852416992188,4.231346130371094,2.9109878540039063,2801.1245727539063,42694.63427734375,32820.28680419922,0,17112264704,11811160064,4606533632,0
200,1742689974239,3696,3696,3696,3696,3696,3696,1.4604949951171875,8.587425231933594,7.492698669433594,33.97685241699219,55.899967193603516,1.4771041870117188,2801.24951171875,42699.684326171875,32824.650451660156,0,17112264704,11811160064,4626198528,0
200,1742689974440,3696,3696,3696,3696,3696,3696,12.686859130859375,7.125312805175781,19.578285217285156,46.86604690551758,59.91176986694336,8.636154174804688,2801.4035034179688,42705.50653076172,32829.76055908203,0,17112264704,11811160064,4643995648,0
199,1742689974640,3696,3696,3696,3696,3696,3696,1.3709487915039063,58.64344024658203,0.7273330688476563,25.086082458496094,29.825286865234375,6.477165222167969,2801.5382690429688,42710.530029296875,32834.08807373047,0,17112264704,11811160064,4660703232,0
199,1742689974841,3696,3696,3696,3696,3696,3696,1.8738174438476563,48.66967010498047,23.749679565429688,9.439033508300781,24.77716827392578,7.171745300292969,2801.6705932617188,42715.70666503906,32838.53356933594,0,17112264704,11811160064,4680638464,0
200,1742689975041,3696,3696,3696,3696,3696,3696,12.439918518066406,4.456077575683594,92.86126708984375,3.5608444213867188,11.357643127441406,0.6946029663085938,2801.80859375,42721.013427734375,32843.13653564453,0,17112264704,11811160064,4705656832,0
200,1742689975241,3696,3696,3696,3696,3696,3696,23.992759704589844,55.49877166748047,7.595390319824219,2.9095535278320313,17.923789978027344,0.47988128662109375,2801.937744140625,42726.00799560547,32847.447021484375,0,17112264704,11811160064,4719845376,0
