Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743631328824,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,1119.6342163085938,24561.347229003906,20568.606018066406,0,17112264704,62914560000,4454400000,0
200,1743631328824,3696,3696,3696,3696,3696,3696,91.6008529663086,94.33597564697266,86.72532653808594,88.12262725830078,92.82612609863281,89.35110473632813,1119.6373291015625,24561.40643310547,20568.674194335938,0,17112264704,62914560000,4454334464,0
200,1743631329025,3696,3696,3696,3696,3696,3696,15.131240844726563,65.03502655029297,10.139328002929688,4.418403625488281,13.063957214355469,4.241455078125,1119.7757568359375,24565.883422851563,20572.4501953125,0,17112264704,62914560000,4464795648,0
199,1743631329225,3696,3696,3696,3696,3696,3696,0.646026611328125,72.302978515625,0.8211746215820313,38.810394287109375,0.5643692016601563,0.46036529541015625,1119.8981323242188,24570.969482421875,20576.84881591797,0,17112264704,62914560000,4481880064,0
200,1743631329425,3696,3696,3696,3696,3696,3696,6.6976470947265625,48.70986557006836,34.74329376220703,22.607940673828125,4.006111145019531,1.4206924438476563,1120.0381469726563,24576.140197753906,20581.284606933594,0,17112264704,62914560000,4512342016,0
200,1743631329626,3696,3696,3696,3696,3696,3696,78.83875274658203,15.535209655761719,1.5560379028320313,8.4932861328125,1.8382186889648438,1.8342819213867188,1120.1619873046875,24580.828186035156,20585.29022216797,0,17112264704,62914560000,4527521792,0
200,1743631329826,3696,3696,3696,3696,3696,3696,8.011268615722656,84.67214965820313,4.61798095703125,0.4580841064453125,8.127525329589844,5.812446594238281,1120.2876586914063,24585.857482910156,20589.603393554688,0,17112264704,62914560000,4547944448,0
200,1743631330026,3696,3696,3696,3696,3696,3696,9.905731201171875,29.899085998535156,50.780860900878906,2.6946182250976563,18.909011840820313,2.869720458984375,1120.414794921875,24590.909912109375,20593.9580078125,0,17112264704,62914560000,4560371712,0
200,1743631330227,3696,3696,3696,3696,3696,3696,6.9923095703125,65.23096466064453,44.396324157714844,2.941741943359375,11.530181884765625,3.1665725708007813,1120.5636596679688,24596.424194335938,20598.782287597656,0,17112264704,62914560000,4581314560,0
200,1743631330428,3696,3696,3696,3696,3696,3696,15.433540344238281,16.74005889892578,39.66856002807617,33.959449768066406,22.52916717529297,2.7783279418945313,1120.713623046875,24601.676025390625,20603.318908691406,0,17112264704,62914560000,4604813312,0
200,1743631330628,3696,3696,3696,3696,3696,3696,0.2387542724609375,7.338325500488281,61.882686614990234,32.93347930908203,3.2092514038085938,1.3235397338867188,1120.836669921875,24606.57537841797,20607.521240234375,0,17112264704,62914560000,4622086144,0
200,1743631330828,3696,3696,3696,3696,3696,3696,15.987380981445313,46.639488220214844,25.79718017578125,2.4602203369140625,3.2896728515625,29.17321014404297,1120.9620361328125,24611.865173339844,20612.115234375,0,17112264704,62914560000,4638818304,0
199,1743631331028,3696,3696,3696,3696,3696,3696,2.9179229736328125,18.942657470703125,9.302787780761719,76.72630310058594,3.2075881958007813,4.171073913574219,1121.0934448242188,24616.888244628906,20616.416137695313,0,17112264704,62914560000,4649209856,0
200,1743631331228,3696,3696,3696,3696,3696,3696,7.5252838134765625,11.836738586425781,29.55004119873047,71.3853759765625,10.736953735351563,3.5832977294921875,1121.2322998046875,24622.421142578125,20621.251586914063,0,17112264704,62914560000,4680212480,0
200,1743631331429,3696,3696,3696,3696,3696,3696,11.64453125,55.734962463378906,5.593070983886719,4.714927673339844,9.845046997070313,42.42881393432617,1121.3796997070313,24627.626037597656,20625.760131835938,0,17112264704,62914560000,4701630464,0
200,1743631331629,3696,3696,3696,3696,3696,3696,0.8948974609375,13.416145324707031,33.04487609863281,2.75946044921875,2.743621826171875,55.64741516113281,1121.5101318359375,24632.582275390625,20630.000610351563,0,17112264704,62914560000,4717752320,0
200,1743631331830,3696,3696,3696,3696,3696,3696,23.451560974121094,47.132625579833984,3.41729736328125,3.0240097045898438,3.2213973999023438,36.7322998046875,1121.6248779296875,24637.819763183594,20634.55712890625,0,17112264704,62914560000,4734205952,0
200,1743631332030,3696,3696,3696,3696,3696,3696,16.930648803710938,3.8192901611328125,1.5479278564453125,10.978797912597656,3.17596435546875,77.98336791992188,1121.758544921875,24642.780212402344,20638.822631835938,0,17112264704,62914560000,4747259904,0
200,1743631332230,3696,3696,3696,3696,3696,3696,26.343605041503906,40.358734130859375,19.30621337890625,1.6186447143554688,3.7561798095703125,23.957107543945313,1121.891357421875,24648.04327392578,20643.35791015625,0,17112264704,62914560000,4768129024,0
200,1743631332431,3696,3696,3696,3696,3696,3696,14.192008972167969,14.520606994628906,44.42695999145508,3.190277099609375,51.356727600097656,2.5792922973632813,1122.0306396484375,24653.4990234375,20648.11846923828,0,17112264704,62914560000,4797251584,0
200,1743631332631,3696,3696,3696,3696,3696,3696,0.7347335815429688,14.151954650878906,72.35272979736328,17.40350341796875,2.9997634887695313,1.6836318969726563,1122.1644897460938,24658.407470703125,20652.33856201172,0,17112264704,62914560000,4811919360,0
200,1743631332831,3696,3696,3696,3696,3696,3696,0.39056396484375,27.10515594482422,0.4957733154296875,55.088199615478516,25.66991424560547,8.098335266113281,1122.2800903320313,24663.6845703125,20656.91717529297,0,17112264704,62914560000,4827189248,0
200,1743631333032,3696,3696,3696,3696,3696,3696,32.081031799316406,23.06401824951172,51.24223327636719,10.485610961914063,12.981353759765625,38.085880279541016,1122.4066772460938,24670.103759765625,20662.616821289063,0,17112264704,62914560000,4845268992,0
200,1743631333232,3696,3696,3696,3696,3696,3696,18.10289764404297,48.39830780029297,17.574447631835938,24.647911071777344,2.0988998413085938,9.041900634765625,1122.7111206054688,24675.030883789063,20666.819885253906,0,17112264704,62914560000,4855939072,0
200,1743631333433,3696,3696,3696,3696,3696,3696,19.045516967773438,60.495723724365234,15.589065551757813,26.610321044921875,11.464851379394531,3.2049636840820313,1122.8853759765625,24680.152221679688,20671.211975097656,0,17112264704,62914560000,4937035776,0
200,1743631333633,3696,3696,3696,3696,3696,3696,7.677787780761719,68.90972137451172,33.06858825683594,4.460105895996094,10.701408386230469,7.127174377441406,1123.041259765625,24685.083984375,20675.444702148438,0,17112264704,62914560000,4957822976,0
200,1743631333833,3696,3696,3696,3696,3696,3696,45.2784309387207,24.28973388671875,17.01837158203125,33.332672119140625,2.7305755615234375,2.4463882446289063,1123.2625732421875,24690.010009765625,20679.647216796875,0,17112264704,62914560000,4976472064,0
200,1743631334034,3696,3696,3696,3696,3696,3696,17.332199096679688,26.146881103515625,64.82054138183594,5.128570556640625,3.3411865234375,4.927635192871094,1123.41015625,24694.882873535156,20683.820556640625,0,17112264704,62914560000,5004656640,0
200,1743631334234,3696,3696,3696,3696,3696,3696,8.628433227539063,22.200416564941406,56.9028205871582,19.979957580566406,3.2711181640625,1.8850021362304688,1123.6475830078125,24699.44708251953,20687.667602539063,0,17112264704,62914560000,5014978560,0
200,1743631334434,3696,3696,3696,3696,3696,3696,33.796356201171875,47.429203033447266,30.57012939453125,5.152961730957031,2.4855117797851563,2.5781784057617188,1123.7959594726563,24704.25177001953,20691.75457763672,0,17112264704,62914560000,5054423040,0
200,1743631334635,3696,3696,3696,3696,3696,3696,55.7144889831543,16.00225067138672,28.659286499023438,11.455757141113281,2.826019287109375,2.9345245361328125,1124.04541015625,24708.88848876953,20695.68182373047,0,17112264704,62914560000,5077291008,0
200,1743631334836,3696,3696,3696,3696,3696,3696,16.730178833007813,45.7258415222168,43.689640045166016,2.7202377319335938,7.516227722167969,7.982322692871094,1124.2022705078125,24713.764770507813,20699.839965820313,0,17112264704,62914560000,5106872320,0
200,1743631335036,3696,3696,3696,3696,3696,3696,3.9869613647460938,35.457916259765625,3.169586181640625,12.886741638183594,64.12321472167969,2.5034103393554688,1124.324951171875,24718.498291015625,20703.880126953125,0,17112264704,62914560000,5073997824,0
200,1743631335236,3696,3696,3696,3696,3696,3696,5.3636474609375,57.437049865722656,6.9093475341796875,14.569023132324219,35.01837921142578,13.882682800292969,1124.470458984375,24723.42059326172,20708.114013671875,0,17112264704,62914560000,5097316352,0
