Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742990910991,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,2653.3680419921875,45347.96173095703,32464.56036376953,0,17112264704,62914560000,7213527040,0
200,1742990910991,3696,3696,3696,3696,3696,3696,86.67510986328125,99.83052825927734,92.08858489990234,89.86244201660156,85.60712432861328,87.96692657470703,2653.371337890625,45348.013732910156,32464.616333007813,0,17112264704,62914560000,7214338048,0
200,1742990911192,3696,3696,3696,3696,3696,3696,16.749481201171875,23.652122497558594,32.176856994628906,15.240348815917969,5.73406982421875,47.37424850463867,2653.5297241210938,45352.51940917969,32468.8388671875,0,17112264704,62914560000,7247175680,0
199,1742990911393,3696,3696,3696,3696,3696,3696,28.47113800048828,38.96346664428711,29.544654846191406,7.006050109863281,53.00192642211914,17.749961853027344,2653.7163696289063,45357.733642578125,32473.79022216797,0,17112264704,62914560000,7314006016,0
200,1742990911592,3696,3696,3696,3696,3696,3696,41.90841293334961,32.56358337402344,19.744598388671875,10.230804443359375,16.670700073242188,17.731826782226563,2653.899169921875,45362.25213623047,32478.039489746094,0,17112264704,62914560000,7318806528,0
200,1742990911792,3696,3696,3696,3696,3696,3696,6.0081329345703125,41.488311767578125,17.424400329589844,12.7418212890625,35.50981140136719,31.264732360839844,2654.0689086914063,45366.88415527344,32482.404052734375,0,17112264704,62914560000,7353663488,0
200,1742990911993,3696,3696,3696,3696,3696,3696,14.115562438964844,78.75556182861328,10.701530456542969,3.0582809448242188,4.732582092285156,14.22906494140625,2654.2344360351563,45371.24774169922,32486.48016357422,0,17112264704,62914560000,7345512448,0
200,1742990912194,3696,3696,3696,3696,3696,3696,46.41643142700195,75.67805480957031,55.614105224609375,46.73273849487305,62.79351043701172,49.65020751953125,2654.4183349609375,45378.092041015625,32493.04168701172,0,17112264704,62914560000,7476232192,0
1,1742990912394,3696,3696,3696,3696,3696,3696,68.14825439453125,78.55106353759766,71.50096893310547,71.00421905517578,67.75227355957031,67.73870086669922,2654.6502685546875,45386.00518798828,32500.669921875,0,17112264704,62914560000,7212015616,0
