Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742990914812,3696,3696,3696,3696,3696,3696,93.88986206054688,82.27491760253906,59.870880126953125,61.18891525268555,60.290836334228516,56.4383659362793,2656.8356323242188,45441.41961669922,32552.758361816406,0,17112264704,62914560000,7186202624,0
200,1742990914813,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,2656.841064453125,45441.533447265625,32552.842895507813,0,17112264704,62914560000,7186087936,0
200,1742990915013,3696,3696,3696,3696,3696,3696,65.85919189453125,31.525840759277344,9.775100708007813,6.272972106933594,11.02459716796875,6.737770080566406,2656.9886474609375,45446.00567626953,32557.069885253906,0,17112264704,62914560000,7211237376,0
198,1742990915214,3696,3696,3696,3696,3696,3696,40.730857849121094,23.994773864746094,8.459068298339844,27.052284240722656,34.274932861328125,9.642227172851563,2657.156005859375,45450.716247558594,32561.519287109375,0,17112264704,62914560000,7247286272,0
200,1742990915413,3696,3696,3696,3696,3696,3696,27.382843017578125,15.532295227050781,3.0617446899414063,3.0372543334960938,17.64820098876953,59.41610336303711,2657.3204956054688,45455.18933105469,32565.71405029297,0,17112264704,62914560000,7283388416,0
200,1742990915614,3696,3696,3696,3696,3696,3696,6.2559967041015625,37.59745788574219,31.186363220214844,5.6754302978515625,40.014305114746094,29.892677307128906,2657.5050048828125,45460.12072753906,32570.372009277344,0,17112264704,62914560000,7319900160,0
200,1742990915814,3696,3696,3696,3696,3696,3696,29.772857666015625,36.275184631347656,7.3825531005859375,15.77899169921875,28.15766143798828,42.35894012451172,2657.6892700195313,45465.02966308594,32575.009338378906,0,17112264704,62914560000,7336701952,0
200,1742990916014,3696,3696,3696,3696,3696,3696,48.66133117675781,70.63400268554688,49.136531829833984,74.06513977050781,50.59769058227539,56.939579010009766,2657.872802734375,45472.05206298828,32581.78094482422,0,17112264704,62914560000,7435878400,0
1,1742990916215,3696,3696,3696,3696,3696,3696,68.47456359863281,78.3115234375,71.35804748535156,68.51226806640625,66.93743896484375,66.90657043457031,2658.105224609375,45480.00177001953,32589.40008544922,0,17112264704,62914560000,7184236544,0
