Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742991135869,3696,3696,3696,3696,3696,3696,29.851531982421875,61.180728912353516,17.320106506347656,23.87751007080078,17.128196716308594,50.96304702758789,2797.3502197265625,47764.376525878906,34224.409118652344,0,17112264704,62914560000,7179415552,0
200,1742991135870,3696,3696,3696,3696,3696,3696,100,100,100,100,100,100,2797.3555297851563,47764.455627441406,34224.48809814453,0,17112264704,62914560000,7179632640,0
199,1742991136070,3696,3696,3696,3696,3696,3696,17.20197296142578,55.81653594970703,35.98943328857422,9.028755187988281,8.486373901367188,9.357452392578125,2797.50634765625,47768.67761230469,34228.449645996094,0,17112264704,62914560000,7197016064,0
200,1742991136270,3696,3696,3696,3696,3696,3696,64.13804626464844,15.440132141113281,26.954551696777344,10.853347778320313,2.9948654174804688,19.257369995117188,2797.6865844726563,47773.25207519531,34232.737060546875,0,17112264704,62914560000,7240663040,0
200,1742991136471,3696,3696,3696,3696,3696,3696,20.97736358642578,25.746231079101563,42.168190002441406,19.478286743164063,16.94513702392578,11.30902099609375,2797.8585815429688,47777.81750488281,34237.018981933594,0,17112264704,62914560000,7269351424,0
200,1742991136671,3696,3696,3696,3696,3696,3696,13.8974609375,51.42365264892578,27.41686248779297,25.356651306152344,10.447906494140625,2.4959182739257813,2798.0264892578125,47782.29217529297,34241.23864746094,0,17112264704,62914560000,7305863168,0
200,1742991136872,3696,3696,3696,3696,3696,3696,15.961051940917969,64.49009704589844,25.834617614746094,24.8507080078125,11.616035461425781,33.750083923339844,2798.2426147460938,47787.600830078125,34246.13116455078,0,17112264704,62914560000,7329828864,0
200,1742991137072,3696,3696,3696,3696,3696,3696,44.25746154785156,83.25257110595703,48.996883392333984,54.6457405090332,54.403602600097656,46.217750549316406,2798.3977661132813,47795.21075439453,34253.368408203125,0,17112264704,62914560000,7317340160,0
2,1742991137273,3696,3696,3696,3696,3696,3696,60.69587707519531,66.44888305664063,63.60256576538086,62.23561096191406,61.15552520751953,60.68054962158203,2798.6290283203125,47802.45574951172,34260.13146972656,0,17112264704,62914560000,7180947456,0
